9AC	100 NEW GOWER ST.		SAINT JOHN'S	NL	A1C 6K3
FSD	800 N FREDERICK AVE		GAITHERSBURG	MD	20879-3326
G49	717 N Harwood St	Maxus Branch	Dallas	TX	75201-6538
G48	2001 Bryan St	IBM c/o J.P. Morgan Chase & Co	Dallas	TX	75201-3005
ZKZ	1101 Market St		CHATTANOOGA	TN	37402-2801
G47	14221 Dallas Pkwy	IBM c/o J.P. Morgan Chase & Co	Dallas	TX	75254-2916
G46	500 E Border St	Arlington Branch, IBM c/o J.P. Morgan Chase & Co.	Arlington	TX	76010-7411
FRT	500 E Broward Blvd	FRANKLIN TEMPLETON	Fort Lauderdale	FL	33394-3000
G45	850 Ridgeview Dr	IBM c/o J.P. Morgan Chase & Co	Horsham	PA	19044-3607
ZL9	Piedra Santa. Autopista de sur s/n		Jinamar		35016
G44	800 Ridgeview Dr	IBM c/o J.P. Morgan Chase & Co	Horsham	PA	19044-3607
ZL8	Alfredo Martín Reyes, 4	Of. Miller bajo	Las Palmas de Gran Canaria		35014
G43	3415 Vision Dr	IBM c/o J.P. Morgan Chase & Co	Columbus	OH	43219-6009
ZL7	Sabandeños, 1	Edificio Charo	Los Cristianos		38640
G42	250 W Huron Rd	5th Floor, IBM c/o J.P. Morgan Chase & Co.	Cleveland	OH	44113-1417
ZL6	C/ San Pedro, 8		Lugo		27001
G41	20 Clinton Ave S	Seneca Building	Rochester	NY	14604-1719
ZL5	C/ Diego de León, 33		Madrid		28006
ZKS	1 Parkway S		GREENVILLE	SC	29615-5095
FRO	285 W BULLARD AVE		FRESNO	CA	93704-1712
G40	1 Chase Sq	IBM c/o J.P. Morgan Chase & Co	Rochester	NY	14643-0001
ZL4	C/ Montesquinza, 24	Sindicato Eneco	Madrid		28004
ZL3	C/ Alfonso XII, 26, 2ºA	Fundación çEndesa	Madrid		28014
ZL2	Plaza Federico Velasco, 3		Medina del Campo		47400
ZL1	C/ Felipe Prieto Nº2 2º-C		Palencia		34001
ZL0	Crta. Granada a Badajoz, Km. 187	Corta Cervantes	Peñarroya-Pueblonuevo		14200
ZKK	1 CVS Dr		WOONSOCKET	RI	02895-6195
ZKJ	132 Fairgrounds Rd		WEST KINGSTON	RI	02892-1517
ZKI	55 Technology Way		WEST GREENWICH	RI	02817-1717
ZKH	700 Quaker Ln		WARWICK	RI	02886-6669
FRD	LYONER STR. 13		FRANKFURT		60528
ZKF	1 W Exchange St		PROVIDENCE	RI	02903-1038
ZKE	100 Sockanosset Cross Rd		CRANSTON	RI	02920-5565
39Z	Norfolk House, Ground Flr	Norwich Close, off 5th Street - PO Box 785166	Sandton		2146
ZKC	654 Ave Munoz Rivera		SAN JUAN	PR	00918-4123
39Y	Majakovskeho 9	UDV Slovakia	Bratislava		81104
39X	83 Clemenceau Avenue	Riche Monde Pte Ltd	Singapore		239920
39W	50 Raffles Place	#11-06 Singapore Land Tower	Singapore		048623
39V	64 Waterloo Street	UDV Engineering	Glasgow		G2 7DE
39U	500 Renfrew Road	Shieldhall Packaging Operations	Glasgow		G51 4SA
39T	74-80 North Canal Bank Street	Port Dundas Distillery	Glasgow		G4 9XL
G39	140 E 45th St	Grand Central Tower, IBM c/o J.P. Morgan Chase & Co.	New York	NY	10017-3144
39S	Oban Distellery, Stafford St		Oban		PA34 5NH
G38	2000 Galloping Hill Rd	Bldg. K6-1	Kenilworth	NJ	07033-1310
39R	14 Coates Crescent	Kinnaird House	Edinburgh		EH3 7AF
G37	75 Wall St	IBM c/o J.P. Morgan Chase & Co	New York	NY	10265-0001
39Q	Hurlford Distribution, Mauchline Rd	Hurlford Distribution	Hurlford		KA1 5JL
G36	55 Water St	IBM c/o J.P. Morgan Chase & Co	New York	NY	10041-0004
39P	1 Dundashill	Dundashill Cooperage	Glasgow		G4 9UE
G35	530 5th Ave	IBM c/o J.P. Morgan Chase & Co	New York	NY	10036-5101
ZK9	C. Cial La Cúpula. Urb. La Paz L67	D. Depcsa	Puerto de La Cruz		38400
39O	27 Main Street	Cambus Garage	Alloa		FK10 2NX
G34	522 5th Ave	IBM c/o J.P. Morgan Chase & Co	New York	NY	10036-7601
ZK8	Las Salinas s/n		Puerto del Rosario		35600
39N	Ducat 2 Business Centre, Level 9	UDV Russia	Moscow		123056
G33	4 New York Plz	IBM c/o J.P. Morgan Chase & Co	New York	NY	10004-2413
ZK7	Díaz y Pimienta, 11		Santa Cruz de La Palma		38700
39M	Bul Carol 31-33	Ghermaneshki Branch	Bucharest		
G32	811 Rusk St	Houston Club Bldg, IBM c/o J.P. Morgan Chase & Co.	Houston	TX	77002-2805
ZK6	Naven, 10-El Mayorazgo		Santa Cruz De Tenerife		38108
39L	20 Rue Lislet Geoffroy BP106	CMM United Distillers	Sainte-Clotilde		97492
G31	277 Park Ave	IBM c/o J.P. Morgan Chase & Co	New York	NY	10172-0003
ZK5	Avda. Candina, s/n		Santander		30002
39K	Apartado 1318, Production Plant	CD Vintners SA	Azeitao		4400
ZK4	Avda. Los Castros, 1, 2º Izqda		Santander		39005
39J	Edificio Banco Del Nuevo Mundo	UDV Peru SA	Lima		
ZK3	Medio, 12		Santander		39011
39I	Hovfaret 17B, PO Box 377	Diageo Norway A/S	Oslo		0212
ZK2	C/ Moctezuma, 3	Mundivia	Santander		39011
39H	Apollo Road, PO Box 50	Guinness Northern Ireland Ltd	Belfast		BT12 6PJ
ZK1	C/ Cádiz, 10, 6ºB	Saltos de Nansa	Santander		39011
39G	Beraghmore Road	Skeoge Industrial Estate	Londonderry		BT48 8SE
ZK0	C/ Isabel la Católica, 8 5ª PL.OF.	Oficina Comercial	Valencia		46004
39F	58 Boucher Rd, Gilbey House	Gilbeys of Northern Ireland	Belfast		BT12 6HT
39E	De Dompelaar 1	UDV  Nederland	De Meern		3454 XZ
39D	Av. Insurgentes Sur 1898-4  Piso	Diageo Mexico SA DE CV, Colonia Roma	México		01030
39A	826-14 Yuksam-Dong	Jinsol Building - 16th Floor	Seoul		135-080
ZJH	650 E Neversink Rd		READING	PA	19606-3061
ZJD	600 Commonwealth Pl		PITTSBURGH	PA	15222-1075
38Z	1-105 Kanda Jinbocho	Jinbocho Mitsui Building 13F	Tokyo		101-0051
38Y	Toranomon 3-7-10, Minato-ku	Landic Toranomon Bldg 3F, Sapporo Guinness Co Ltd	Tokyo		105-0001
38X	1-9-9 Roppongi, Minato-ku	Roppongi First Building 2F	Tokyo		106-0032
38W	Via G Leopardi 1	Guinness Italia Srl	Milan		20129
38V	Via Tomba Forella 3	Gio Buton & C. SpA	Bologna		40068
38U	Centro Direzionale Corte Lambruschi	Torre A, 10th Floor, UDV Italia SpA	Genoa		16129
38T	25 Mount Joy Sq E	Edward Dillon & Co Ltd	Dublin		1
G29	2 Chase Manhattan Plz	IBM c/o J.P. Morgan Chase & Co	New York	NY	10005
38S	2D/71, Phoenix House	UDV India Limited	Mumbai		400013
G28	1221 Avenue Of The Americas	IBM c/o J.P. Morgan Chase & Co	New York	NY	10020-1001
38R	134 Nea Monastoriou	UDV Hellas SA	Thessalonika		56334
G27	1211 Avenue of the Americas		New York	NY	10036-8701
38Q	Am Sandtorkai 70	Schowing & Struss GmbH	Hamburg		20457
G26	3605 Vartan Way	Suite 104	Harrisburg	PA	17110-9335
38P	Cremon 33/34	UDV Germany	Hamburg		20457
ZIX	1075 Progress St		PITTSBURGH	PA	15212-5922
G25	1 Chase Manhattan Plz	IBM c/o J.P. Morgan Chase & Co	New York	NY	10005-1401
ZJ9	Lentiscal, 1		Vecindario		35110
38O	12 Avenue de l'Arche, le Colisee	MH UDV	Paris		92419
G24	1985 Marcus Ave	IBM c/o J.P. Morgan Chase & Co	New Hyde Park	NY	11042-1081
ZJ8	5011 Firestone Place		South Gate	CA	90280-3533
38N	30 Avenue Hoche	Louis Vuitton Moet Hennessy	Paris		75008
G23	100 Duffy Ave	Suite 3, IBM c/o J.P. Morgan Chase & Co	Hicksville	NY	11801-3633
ZJ7	1677 Bowman St		Clermont	FL	34711-3405
38M	La Batie, Route Nationale 6	UDV France	La Chapelle De Guinchay		71570
G22	900 Stewart Ave	IBM c/o J.P. Morgan Chase & Co	Garden City	NY	11530-4855
ZJ6	US Customs, Undisclosed Location		Alexandria	VA	22311
38L	26 Rue de la Pepiniere	Guinness France	Paris		75008
ZIT	101 Kappa Dr		PITTSBURGH	PA	15238-2833
G21	4 Chase Metrotech Ctr	IBM c/o J.P. Morgan Chase & Co	Brooklyn	NY	11245-0005
ZJ5	Torshamnsgatan 44		Kista		16480
38K	87 rue du Dehez, BP 30	Chateau Magnol	Blanquefort		33292
ZIS	734 Schuylkill Ave		PHILADELPHIA	PA	19146-2397
G20	3 Chase Metrotech Ctr	IBM c/o J.P. Morgan Chase & Co	Brooklyn	NY	11201-3858
ZJ4	Ayer Rajah Crescent	Level 3 & 5	Singapore		039190
38J	Kauppakartanonkatu 7A	Global Brands & Agencies OY	Helsinki		009 30
ZJ3	Kim Chuan Rd	Level 5 & 6	Singapore		537055
38I	51 W Jing Xian Rd	Qufu Shengying International Distillers Co Ltd	Qufu		273100
ZJ2	174 Millenium Dr		Orangeburg	SC	29115-9808
38H	Carretera General La Cuesta	Guinness Compania Cervecera de Canarias (CCV)	Santa Cruz		38320
ZJ1	1111 Broadway		Oakland	CA	94607-4036
38G	Calle Leon Y Castillo 431	UDV Canarias SA	Las Palmas		35007
ZJ0	8686 New Trails Dr		The Woodlands	TX	77381-1176
38F	1281 W Georgia St, Suite 301	UDV Canada Inc	Vancouver	BC	V6E 3J7
38E	1 Rue Salaberry	UDV Canada Inc	Valleyfield	QC	J6T 2G9
38D	600 de Maisonneuve Blvd W	UDV Canada Inc	Montreal	QC	H3A 3J2
ZIL	1 Liberty Pl		PHILADELPHIA	PA	19103-7322
38C	5155 Spectrum Way, Unit 10	National Sales Office	Mississauga	ON	L4W 5A1
38B	2925 9 Ave N	Gilbeys Canada Inc, Lethbridge Distributors	Lethbridge	AB	T1H 5E3
38A	283 Horner Avenue	Etobicoke Plant, Gilbeys Canada Inc	Etobicoke	ON	M8Z 4Y4
ZIG	400 Egypt Rd		NORRISTOWN	PA	19403-3400
G1A	CHICLANA 602		BAHIA BLANCA		B800DBN
37Z	Rua Funchal 160-7 Andar	UDV Brasil LTDA	Sao Paulo		04551-903
37Y	441 Stirling Highway		Claremont	WA	6010
37X	21-23 Grosvenor Rd, Suite 104	Guinness Australia Pty Ltd	North Sydney	NSW	2089
37W	114 Belmain St	Richmond	Richmond	VIC	3121
37V	4 Distillers Place	UDV Australia	Huntingwood	NSW	2148
37U	Bundaberg Distilling, Whittred St	PO Box 699	Bundaberg	QLD	4670
37T	Unit 2, James St	Centro on James	Brisbane	QLD	4006
G19	130 Belmont Dr	IBM c/o J.P. Morgan Chase & Co	Somerset	NJ	08873-1204
37S	10-28 Biloela St	Swift & Moore Pty Ltd	Villawood	NSW	2163
G18	570 Washington Blvd	Newport 6	Jersey City	NJ	07310-1695
37R	73 Henley Beach Rd	Mile End	Adelaide	SA	5031
G17	575 Washington Blvd	Newport 5	Jersey City	NJ	07310-1680
37Q	Bouchard 680, 7th Floor	CINBA SA	Buenos Aires		1106
G16	75 State Route 27	IBM c/o J.P. Morgan Chase & Co	Iselin	NJ	08830-1512
ZHX	260 Salem Church Rd		MECHANICSBURG	PA	17050-2819
G15	343 Thornall St	IBM c/o J.P. Morgan Chase & Co	Edison	NJ	08837-2206
ZI9	C/ Areosa S/N		As Pontes		15320
37O	VIA ILLICA,4		MILANO		20121
G14	900 Chelmsford St	IBM c/o J.P. Morgan Chase & Co	Lowell	MA	01851-8100
ZI8	Heinrich Ehrhardt Strasse 2		Unterluess		29345
37N	3400 Gap Dr	Pacific Distribution Center	Fresno	CA	93727-7799
G13	73 Tremont St	IBM c/o J.P. Morgan Chase & Co	Boston	MA	02108-3916
37M	3685 Gap Dr		Fresno	CA	93727-7726
ZI6	C/ Ancha S/N	C.T. San Roque	Cadiz		11360
37L	6001 Green Pointe Dr S		Groveport	OH	43125-2008
G11	1 Beacon St	IBM c/o J.P. Morgan Chase & Co	Boston	MA	02108-3107
ZI5	Carlos J.R. Hamilton, 7	Edificio Princesa Dácil	Santa Cruz de Tenerife		38001
37K	5200 Blue Lagoon Dr		Miami	FL	33126-7006
G10	1500 N 19th St	IBM c/o J.P. Morgan Chase & Co	Monroe	LA	71201-4942
ZI4	12001 Industrial Park		Cumberland	MD	21502-5175
37J	620 Avenue of the Americas		New York	NY	10011-2007
ZI3	100 Kachel Blvd		Reading	PA	19607-9674
37I	40 First Plaza NW		Albuquerque	NM	87102-3355
ZI2	6 Shenton Way, Tower 1		Singapore		068809
37H	100 Gap Blvd		Gallatin	TN	37066-6000
FOL	151 Blue Ravine Rd	ISO	Folsom	CA	95630-4704
ZI1	8930 Ward Parkway		Kansas City	MO	64114-3363
37G	110 Merritt Blvd		Fishkill	NY	12524-2943
ZI0	1201 Timberloch Pl		The Woodlands	TX	77380-1047
37F	1405 Worldwide Blvd		Hebron	KY	41048-8651
37E	2700 Earhart Ct		Hebron	KY	41048-8237
37D	1360 Dolwick Dr		Erlanger	KY	41018-3108
37B	695 Menlo Dr		Rocklin	CA	95765-3718
37A	4000 Buechel Bank Rd	GE Appliance Park AP1-100	Louisville	KY	40225-0002
ZHI	500 UNIVERSITY DR		HERSHEY	PA	17033-2390
36Z	2690 Balltown Rd, Bldg 610		Schenectady	NY	12309-1004
36Y	8700 Governors Hill Dr		Cincinnati	OH	45249-3301
36X	30 RUE DES JACQUINS		JOUY		89150
36W	83 BOULEVARD MONTPARNASSE		PARIS		75005
36V	188  RUE DU CADUCEE		MONTPELLIER		34090
36U	Z.I. DU TALHOUET		PLUVIGNIER		56330
36T	Port du Rhin		Neewiller-pres-Lauterbourg		67630
36S	ROUTE DE HERRLISHEIM		DRUSENHEIM		67410
G08	4925 Independence Pkwy	IBM c/o J.P. Morgan Chase & Co	Tampa	FL	33634-7540
36R	Koellner Strasse 122-128		Puettlingen		66346
G07	4921 Memorial Hwy	IBM c/o J.P. Morgan Chase & Co	Tampa	FL	33634-7520
36Q	250 Industrial Blvd, Suite 200		Boucherville	QC	J4B 2X4
ZGY	100 Erie Insurance Pl		ERIE	PA	16530-0001
G06	4915 Independence Pkwy	IBM c/o J.P. Morgan Chase & Co	Tampa	FL	33634-7540
36P	890 Winter St, Suite 310		Waltham	MA	02451-1493
G05	4900 Memorial Hwy	IBM c/o J.P. Morgan Chase & Co	Tampa	FL	33634-7536
ZH9	915 Deguigne Dr		Sunnyvale	CA	94085-3836
36O	700 Sylvan Ave		Englewood Cliffs	NJ	07632-3150
G04	10430 Highland Manor Dr	Bldg 1, IBM c/o J.P. Morgan Chase & Co.	Tampa	FL	33610-9128
ZH8	135 Bukit Timah Rd	POSB Building	Singapore		229837
36N	85 Orchard Rd		Skillman	NJ	08558-2609
G03	10420 Highland Manor Dr	Bldg 2, IBM c/o J.P. Morgan Chase & Co.	Tampa	FL	33610-9128
ZH7	4000 Horizon Way		Irving	TX	75063-2260
36M	311 Pennington Rocky Hill Rd		Pennington	NJ	08534-2130
G02	10410 Highland Manor Dr	Bldg 3, IBM c/o J.P. Morgan Chase & Co.	Tampa	FL	33610-9128
ZH6	2040 Dow Center		Midland	MI	48642-6030
36L	100 Nassau Park Blvd		Princeton	NJ	08540-5932
G01	10151 Deerwood Park Blvd	Bldg 400, IBM c/o J.P. Morgan Chase & Co.	Jacksonville	FL	32256-7169
ZH5	10F, No 100 Ming-Shen E Rd, Sec 3		Taipei		105
36K	7601 Ora Glen Dr		Greenbelt	MD	20770-3641
G00	1400 E Newport Center Dr	IBM c/o J.P. Morgan Chase & Co	Deerfield Beach	FL	33442-7737
ZH4	6F, 2 Minchuan E Rd, Sec 3		Taipei		104
36J	Tempelhofer Ufer 11		Berlin		10963
ZH3	3274 Susquehanna Trail		York	PA	17402
36I	#8-9, Narendra Chambers	Off Hosur Rd, G B Palya	Bangalore		560068
ZH2	1020 N Hartley		York	PA	17404-2862
36H	500 Technology Way		Napa	CA	94558-7513
ZH1	Route 1 Box 320		Wheatfield	IN	46392
36G	Inkilap Mh. Dr Fazil Kucuk Cd. N:11	Umraniye	Istanbul		81230
ZH0	300 Luray Dr		Wintersville	OH	43953-3901
36F	Aeroporto Linate Forlanini		Milano		20010
36E	9500 Mclaughlin Rd		Brampton	ON	L6X 0B8
36D	89 Walker Dr		Brampton	ON	L6T 5K5
36C	950 Tower Ln		Foster City	CA	94404-2121
36B	510 Walnut St		Philadelphia	PA	19106-3619
36A	436 Walnut St		Philadelphia	PA	19106-3786
FNB	MEUDON HOUSE	MEUDON AVENUE	FARNBOROUGH		GU14 7NB
35Z	3111 Convair Dr, Floor 1, Suite 166		MISSISSAUGA	ON	L5P 1C2
ZGB	665 Winter St SE		SALEM	OR	97301-3959
35X	Lenovo, Skovlytoften 33		Holte		2840
ZGA	4000 LANCASTER DR NE		SALEM	OR	97305-1500
35W	V. LE MICHELANGELO 19		FIRENZE		50100
35V	570 GEORGE STREET	LEVEL 1, 2 AND 10	SYDNEY	NSW	2000
35U	4344 99th St NW		Edmonton	AB	T6E 6K8
35T	565 12th St NW		Washington	DC	20004-1202
35S	1640 B Marine View Dr		Tacoma	WA	98422-4100
35R	20350 S Figueroa St		Carson	CA	90745-1005
35Q	802 Airpark Commerce Dr		Nashville	TN	37217-5714
35P	Rue Mont Thabor, 12		Paris		75001
FMT	48233 Warm Springs Blvd	IBM c/o Solectron, Inc.	Fremont	CA	94539-7654
ZG9	1675 Muddy Creek Rd	PO Box 901	Winchester	KY	40392-0901
35O	Cuesta Sto Domingo 5 y 7		Madrid		28013
ZG8	300 Friberg Pkwy		Westborough	MA	01581-3900
35N	Moby Dick, 2	Urb Guadalmar	Málaga		29004
ZG7	4360 West Roy Furman Hwy		Waynesburg	PA	15370-7255
35M	Albany St, Regents Park		London		NW1 3UP
ZG6	950 Manifold Rd		Washington	PA	15301-9611
35L	Gremio Herreros 39, 2º A	Pol. Ind. Son Castelló	Palma de Mallorca		07009
ZG5	2755 Raystone Dr		Valparaiso	IN	46383-9565
35K	427 LaSalle St		Chicago	IL	60605
ZG4	333 S Erie St		Toledo	OH	43602-1609
35J	Narcot Lane, Chalfont St Peter		Gerrard's Cross		SL9 8TW
ZFR	5200 NE Elam Young Pkwy		HILLSBORO	OR	97124-6497
ZG3	301 Maple St	PO Box 330	Sugar Grove	OH	43155-0330
35I	Units 1-5, Ponton Rd	South Bank Business Centre	London		SW8 5BL
ZG2	34646 Old Valley Pike		Strasburg	VA	22657-3724
35H	Av. da Liberdade 230-5		Lisboa		1250-148
ZG1	2567 Celt Rd		Stanardsville	VA	22973-3143
35G	Rua da Fraternidade Operaria, N 5		Carnaxide		2799-501
ZFO	909 S Boston Ave		TULSA	OK	74119-2095
ZG0	28-A Winfield Rd		Saint Albans	WV	25177-1558
35F	Av. Minas Palacio No. 42	Col. San Antonio Zomeyucan	Naucalpan de Juarez		53750
35E	Mariano Escobedo No 573 3er Piso	Col. Rincon del Bosque	México		11580
ZFM	7707 SW 44th St		OKLAHOMA CITY	OK	73179-4899
FMI	39001 Sunrise Dr		Farmington Hills	MI	48331-3487
35D	Manzana 2 Lote 13	Cd. Industrial	Celaya		38010
35C	Av. Del Recreo No. 143	Col. San Miguel Iztacalco	México		08650
ZFK	3000 NE 63rd St		OKLAHOMA CITY	OK	73121-1299
35B	Av. de Exportación No. 205	Col. Las Pintas, Parque Industrial Guadalajara	Tlajomulco		45690
35A	Dow Chemical, Michigan Operations	Building 574, Door 3	Midland	MI	48667
34Z	15 Fordham St		Pocatello	ID	83201-3418
34Y	24600 Center Ridge Rd. Suite 120		Westlake	OH	44145-5617
34X	8200 NW 33rd St, Suite 301		Miami	FL	33122-1942
34W	3030 Warrenville Rd, Suite 500		Lisle	IL	60532-3650
34V	Water St, Rooms 669-675	India Buildings, Merseyside	Liverpool		L2 0UE
34U	53 Bothwell St		Glasgow		G2 6TS
34T	48A Cambridge Rd		Barking		IG11 8HH
34S	285, Chung Hsiao East Rd, Sec 4		Taipei		106
34R	15F-3, No. 31, Hai-Pien Rd		Kao-hsiung		802
34Q	Liman Caddesi Arkas Binasi 38	Alsancak	Kemalpasa		35230
FLU	ul. Prymasa Wyszynskiego 11		Gliwice		44100
34P	Kasap Sokak Arkas Binasi 2/4		Istanbul		34394
2T1	EKIMAE 2-10-6		KOHRIYAMA CITY-FUKUSHIMA		963
ZF9	2025 Roosevelt Ave		Springfield	MA	01104-1693
34O	Ul Emili Plater 28		Warszawa		00-688
ZF8	1039 Pennsylvania Ave		South Bend	IN	46601-3717
34N	Ul Tadeusza Wendy 15		Gdynia		81-341
ZF7	100 Laurel View Dr	Suite A	Smithfield	PA	15478-8937
ZF6	2939 Space Rd		Richmond	VA	23234-3819
34L	6 Saint Lucia Ave, 4th Floor	Island Life Centre	Kingston		5
ZF5	325 West Rd		Portsmouth	NH	03801-5667
34K	Avda. Del Puerto 233-1-2		Valencia		46011
ZF4	650 Washington Rd		Pittsburgh	PA	15228-2702
34J	Avda. Ramon de Carranza 22		Cadiz		11006
ZF3	6090 Hurricane Rd		Pikeville	KY	41501-7607
34I	Ercilla 19		Bilbao		48009
ZF2	7080 Fry Rd	Middleburg Hgts	Cleveland	OH	44130-2513
34H	Avda. Drasanes, 6-8	Planta 22 Edificio Colon	Barcelona		08001
ZF1	1120 W Fourth St		Mansfield	OH	44906-2566
34G	Reiherdamm 44		Hamburg		20457
ZF0	1 Ravenwood Dr		Ludlow	MA	01056-3318
34F	Rosenstrasse 17		Hamburg		20095
34E	Lurgiallee 14-16		Frankfurt am Main		60439
34C	129 Nanjing Rd	B-403,Tianjin International Trade Plaza	Tianjin		300051
ZEK	5175 Emerald Pkwy		DUBLIN	OH	43017-1067
34B	12, Hong Kong Central Rd, Rm 610	Block B, Fulhope Plaza	Quingdao		266071
34A	Jie Fang Rd S, Bldg 188		Ningbo		315010
ZEE	650 S Front St		COLUMBUS	OH	43206-1049
33Z	25 Canton Rd, 35th Floor	The Gateway Tower II, Tsim Sha Tsui	Hong Kong		
33Y	447 Kent St, Lvl 8		Sydney	NSW	2000
ZEB	1320 Arthur E Adams Dr		COLUMBUS	OH	43221-3595
33X	517 Flinders Ln, Lvl 2		Melbourne	VIC	3000
33W	Pica		Pontevedra		36682
33V	Llanterners, 6		Valencia		46014
33U	Jose Mª Millares Sall, 50		Las Palmas de Gran Canaria		35017
33T	1 Court Square		Long Island City	NY	11101-4331
345	2-7-15 OHTE		FUKUI		910
33S	1320 Creek Trail Dr		Jefferson City	MO	65109-9240
344	3-1-1 HIROOKA		KANAZAWA		920
33R	Viale Pasteur 56		Roma		00144
343	2-1-18 HIGASHIOHDOURI		NIIGATA		950
33Q	3795 Data Dr, Suite 100		Norcross	GA	30092-2535
33P	7171 Frederick-Banting		Saint-Laurent	QC	H4S 1Z9
341	1-7-15 SOUKYOKUWA		TOYAMA		930
ZE9	3101 N Ridge Rd E		Lorain	OH	44055-3767
33O	24 Boulevard des Iles		Issy-les-Moulineaux		92441
ZDW	6035 Parkland Blvd		CLEVELAND	OH	44124-4141
ZE8	2001 Mercer Rd	PO Box 14241	Lexington	KY	40511-1018
33N	3201 Jermantown Rd		Fairfax	VA	22030-2848
ZE7	735 Borden Rd		Lexington	VA	24450-4013
33M	2800 Livernois Rd		Troy	MI	48083-1215
ZE6	201 Energy Pkwy	Suite 100	Lafayette	LA	70508-3839
33L	12755 Olive Blvd, Suite 200		Saint Louis	MO	63141-6200
ZDT	2500 Metrohealth Dr		CLEVELAND	OH	44109-1998
ZE5	620 North Fraley St		Kane	PA	16735-9040
33K	Savoie Technolac BP266		Le Bourget-du-Lac		73375
ZDS	2121 Euclid Ave		CLEVELAND	OH	44115-2226
ZE4	1300 Dakota St		Gary	IN	46403-3444
33J	Bleiswijkseweg 51		Zoetermeer		2712
ZDR	1111 SUPERIOR AVE E		CLEVELAND	OH	44114-2529
ZE3	128 Holiday Ct	Suite 110	Franklin	TN	37067-3092
33I	Vitseroelsstraat 74		Ternat		1740
ZE2	1501 Hale Ave	Bldg 1	Fort Wayne	IN	46802-3799
33H	712 Yates St, 6th Floor		Victoria	BC	V8W 1L4
ZE1	1800 Broad Ave		Findlay	OH	45840-2722
33G	100 International Blvd		Toronto	ON	M9W 6J6
ZE0	12801 Fair Lakes Pkwy		Fairfax	VA	22033-3874
33F	5050 Rue Armand-Frappier		Saint-Hubert	QC	J3Z 1G5
ZDM	10590 Hamilton Ave		CINCINNATI	OH	45231-1457
33E	4400 MacArthur Blvd, Suite 800		Newport Beach	CA	92660-2093
33D	Pol. Ind. Santa Ana 2		San Pedor		08251
33B	Av.d de la Construcción	Pol. Miralcampo	Azuqueca de Henares		19200
33A	Enrique Granados 27/33		Esplugues		08950
ZDG	4165 Half Acre Rd		BATAVIA	OH	45103-3296
ZDE	395 Springside Dr		AKRON	OH	44333-2496
32Z	Josep Tarradellas, 67/70		Barcelona		08029
32Y	Ctra de Cornella 134-138		Esplugues		08950
32W	Carretera M300, 28, 5		Alcalá de Henares		28802
32V	2085 Rustin Ave		Riverside	CA	92507-2498
32U	6350 Sequence Dr		San Diego	CA	92121-4356
32T	3880 Murphy Canyon		San Diego	CA	92123-4403
32S	77 Danbury Rd		Wilton	CT	06897-4407
32R	1309 SW Topeka Blvd		Topeka	KS	66612-1816
32Q	5204 E Ben White Blvd	Mail Drop 582	Austin	TX	78741-7306
32P	Av. Engº Duarte Pacheco, Amoreira	Torre 1, 6º	Lisboa		1099-094
ZD9	Route 3 Ward Rd		Elkins	WV	26241
32O	Av. Miguel Bombarda, 4		Lisboa		1049-058
ZD8	1470 Poorhouse Rd		Downingtown	PA	19335-3642
32N	105 25th St SW		Fargo	ND	58103
ZD7	920 Goodale Blvd	PO Box 2586	Columbus	OH	43212-3871
32M	437 Old Peachtree Rd		Suwanee	GA	30024
ZD6	4115 Cork Bocktown Rd		Clinton	PA	15026-1704
32L	180 Maiden Ln		New York	NY	10038-4925
ZD5	107 Spencer Rd, Bldg #2	PO Box 529	Clendenin	WV	25045-8902
ZCS	780 Salt Rd		WEBSTER	NY	14580-9791
32K	Corporate 4/1,Bannaghatta Rd	Tower A IBC Knowledge Park, Opp Fire Station	Bangalore		560029
ZD4	843 Piatt St	PO Box 540	Chillicothe	OH	45601-0540
32J	1919 Park Ave		Weehawken	NJ	07086-6712
ZD3	1809 Coyote Dr		Chester	VA	23836-2400
32I	20 Commerce Dr		Cranford	NJ	07016-3612
ZD2	14501 Old US Route 23		Catlettsburg	KY	41129-9285
32H	Rorschacherstrasse 170		St. Gallen		9000
ZD1	995 Belmont St		Brockton	MA	02301-5586
ZD0	293 Court St		Binghamton	NY	13904-1500
32F	17950 W Corporate Dr		Brookfield	WI	53045-6337
32E	2111 McDonalds Dr		Oak Brook	IL	60523-1928
32D	440 N Broad St		Philadelphia	PA	19130-4015
32C	13550 Triton Park Blvd		Louisville	KY	40223-4194
32B	23621 Park Sorrento, Suite 101		Calabasas	CA	91302
32A	Z.I. DU JALDAY		Saint-Jean-de-Luz		64500
ZCH	344 S Warren St		SYRACUSE	NY	13202-2047
ZCG	258 E Adams St		SYRACUSE	NY	13202-3092
ZCF	105 Twin Oaks Dr		SYRACUSE	NY	13206-1212
31Z	9 RUE DU FAUBOURG POISSONNIERE		PARIS		75009
31Y	117 RUE CHARLES MICHELS		Saint-Denis		93208
31X	1 RUE DU BASSIN DE L'INDUSTRIE		Strasbourg		67016
31W	6800 Jericho Tpke, Suite 204W		Syosset	NY	11791-4445
31V	212 Carnegie Center	4th Floor	Princeton	NJ	08540-6236
31U	10 W Market St		Indianapolis	IN	46204-2954
31T	Brouwerrijlein 1		Leuven		3000
31S	5472 E La Palma Ave		Anaheim	CA	92807-2023
